Username, Password
alex_martin, P@ssw0rd!23
emma_johnson1, Emm@2025#
ryan_clerk02, Ryclerk#88
mia_lee, MiaL33t!
liam_nguyen7, L!am1990
sofia_perez, Sp3rz!2024
noah_smith, N0ah$ecure
isabella_ortiz3, Iz0rtiz#3
ethan_choi, EthanC!45
ava_khan, Av@Khan77
oliver_tan5, Oliv3r%5
chloe_wong, Chlo3_W0ng!
mason_fernandez, M@sonF12
lily_park9, Lilyp@rk9
logan_roberts, L0g@nR0b
grace_liu4, Gr@ceLiu4!
jacob_hassan, J@cobH#01
zoe_martinez2, Z0eM!22
aiden_ramos, A1denR*34
natalie_santos, Nat@S@ntos5
